Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,
,Marca,Producto ,Tipo,Cantidad (L-pz),Precio La Comer,Precio por L,Precio por gr,Precio por lavada
,Ensueño,Spring fresh,Toallitas,80,150,-,1.875,1.875
,Downy,Unstopables Fresh,Perlas,0.345,196.5,569.5652174,0.5695652174,
,,Unstopables Lush,,0.345,199,576.8115942,0.5768115942,
,,Unstopables Lush,,0.14,120,857.1428571,0.8571428571,
