Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Marca,Producto ,Tipo,Cantidad (L),Precio La Comer,Precio por L,Precio por gr,Precio por lavada,,Producto ecológico,Tipo,Cantidad,Precio ,Precio por L,Precio por gr,Cargas,Link
,,,1.83,72,39.3442623,0.0393442623,2.950819672,,,,,,,,,
,,,3,133,44.33333333,0.04433333333,3.325,,,,,,,,,
,,,6.64,225,33.88554217,0.03388554217,2.541415663,,,,,,,,,
,,,4.65,185,39.78494624,0.03978494624,2.983870968,,,,,,,,,
Ace,,Polvo,0.648,35.5,54.78395062,0.05478395062,4.108796296,,,,,,,,,
,,,1.72,98,56.97674419,0.05697674419,4.273255814,,,,,,,,,
,,,4.86,265,54.52674897,0.05452674897,4.089506173,,,,,,,,,
,,,5.83,318,54.54545455,0.05454545455,4.090909091,,,,,,,,,
,,Liquido ,5,199,39.8,0.0398,2.985,,,,,,,,,
Persil,Original ,Polvo ,0.9,39.9,44.33333333,0.04433333333,3.325,,,,,,,,,
,,,4.5,183,40.66666667,0.04066666667,3.05,,,,,,,,,
,,Liquido ,3,115,38.33333333,0.03833333333,2.875,,,,,,,,,
,,,4,185,46.25,0.04625,3.46875,,,,,,,,,
,,,6.64,243,36.59638554,0.03659638554,2.744728916,,,,,,,,,
,Color,Polvo,0.9,39.9,44.33333333,0.04433333333,3.325,,,,,,,,,
,,,4.5,183,40.66666667,0.04066666667,3.05,,,,,,,,,
,,Liquido ,0.83,51.9,62.53012048,0.06253012048,4.689759036,,,,,,,,,
,,,3,115,38.33333333,0.03833333333,2.875,,,,,,,,,
,,,4.65,185,39.78494624,0.03978494624,2.983870968,,,,,,,,,
,,,6.64,243,36.59638554,0.03659638554,2.744728916,,,,,,,,,
,,,,,,,,,,,,,,,,
123,Color,Liquido ,4.65,130,27.95698925,0.02795698925,2.096774194,,,,,,,,,
Ariel ,,Liquido ,5,210,42,0.042,3.15,,,,,,,,,
,Original,Polvo,0.75,40.5,54,0.054,4.05,,,,,,,,,
,,,2,103.5,51.75,0.05175,3.88125,,,,,,,,,
,,,5.5,291.5,53,0.053,3.975,,,,,,,,,
,,,6,318,53,0.053,3.975,,,,,,,,,
,Revita color (mezclilla),Liquido ,5,209.5,41.9,0.0419,3.1425,,,,,,,,,
,Ropa color ,Liquido ,0.8,40,50,0.05,3.75,,,,,,,,,
,,,1.8,89,49.44444444,0.04944444444,3.708333333,,,,,,,,,
,,,2.8,147,52.5,0.0525,3.9375,,,,,,,,,
,,,5,210,42,0.042,3.15,,,,,,,,,
,Dark & colors,,8,355,44.375,0.044375,3.328125,,,,,,,,,
